Año;Departamento;Municipio;Operadora;Campo;Contrato;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Total;
2023;CASANARE;OROCUE;OIRU CORPORATION;ALVA SUR;NASHIRA;261,58;282,52;286,09;279,22;276,38;285,6;258,13;264,53;269,86;504,87;419,13;383,1;3771,01;
2013;META;PUERTO GAITAN;META PETROLEUM CORP.;AMBAR;QUIFA;2580,83871;2621,392857;3206,903226;4163,5;3413,322581;2772,833333;2795,774194;2735,741935;2867,833333;3255,612903;3430,6;3105,774194;36950,12727;
2014;META;PUERTO GAITAN;META PETROLEUM;AMBAR;QUIFA;3053,806452;3104,321429;3311,129032;3549,766667;3344,580645;3415,966667;2692,967742;2328,032258;2849,2;2911,258065;2939,73;2997,32;36498,07896;
2015;META;PUERTO GAITAN;META PETROLEUM;AMBAR;QUIFA;3178,451613;2667,892857;2391,258065;2316,933333;2161,032258;2003,966667;2032,548387;1990,903226;2075,366667;2093,129032;2214,566667;2209,741935;27335,79071;
2016; META ; PUERTO GAITAN ; META PETROLEUM CORP ; AMBAR ; QUIFA ;2029,258065;2025,586207;2030,387097;2027,733333;1903,419355;1794,066667;1518,064516;1760,83871;1792,666667;1769,193548;1770,4;1747,322581;22168,93674;
2017;META;PUERTO GAITAN;META PETROLEUM CORP;AMBAR;QUIFA;1704,967742;1684,75;1658,967742;1648,2;1436,659355;1557,579333;1562,034194;1601,831613;1622,193667;1444,500968;1402,455667;1646,630323;18970,7706;
2018;META;PUERTO GAITAN;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;AMBAR;QUIFA;1362,560323;1354,648214;1374,050323;1587,126;1460,901613;1351,205333;1446,697742;1577,355806;1618,402333;1659,804194;1959,405333;0;16752,15721;
2013;TOLIMA;PIEDRAS;INTEROIL COLOMBIA E&P;AMBROSIA;AMBROSIA;40,03225806;35,17857143;40,5483871;38,8;39,35483871;38,8;37,19354839;35,87096774;35,73333333;35,61290323;31,36666667;33,32258065;441,8140553;
2014;TOLIMA;PUERTO GAITAN;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;31,64516129;31,10714286;49,93548387;45,63333333;40,19354839;40,16666667;39,61290323;39,06451613;38,66666667;38,25806452;37,17;36,55;468,0034869;
2015;TOLIMA;PIEDRAS;INTEROIL COLOMBIA EXPLORATION AND PRODUCTION;AMBROSIA;AMBROSIA;36,96774194;36,03571429;35,32258065;35,13333333;35,80645161;33,83333333;33,25806452;33,64516129;33,66666667;32,90322581;32,33333333;33,16129032;412,0668971;
2016; TOLIMA ; PIEDRAS ; INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ; AMBROSIA ; AMBROSIA ;32,90322581;32,96551724;32,35483871;33,36666667;36,90322581;33,43333333;32,25806452;32,48387097;31,96666667;31,58064516;30,83333333;31,4516129;392,5010011;
