Año;Departamento;Municipio;Operadora;Campo;Contrato;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Total;
2015;CASANARE;SAN LUIS DE PALENQUE;ECOPETROL;CARETO;CUBIRO;679,3548387;415,3214286;1351,935484;1259,9;945,7419355;922,4666667;915,8064516;865,0645161;730,5333333;589,7096774;586,9666667;552,9354839;9815,736482;
2016; CASANARE ; SAN LUIS DE PALENQUE ; ALANGE ENERGY CORP SUC COLOMBIA ; CARETO ; CUBIRO ;479,8387097;483,6896552;534,6451613;475,4;0;0;0;0;0;0;0;0;1973,573526;
2016; CASANARE ; SAN LUIS DE PALENQUE ; PACIFIC STRATUS ENERGY COLOMBIA CORP ; CARETO ; CUBIRO ;0;0;0;0;453,1290323;434,4333333;434,2580645;395,3870968;354,3333333;327,9032258;310,6333333;302,7096774;3012,787097;
2017;CASANARE;SAN LUIS DE PALENQUE;PACIFIC STRATUS ENERGY COLOMBIA CORP;CARETO;CUBIRO;305,516129;305,8571429;282,0645161;272,6333333;266,8725806;264,916;258,5358065;258,9919355;265,084;255,4916129;231,2923333;217,9732258;3185,228616;
2018;CASANARE;SAN LUIS DE PALENQUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARETO;CUBIRO;230,1219355;206,0232143;182,483871;183,582;185,2525806;190,3163333;198,6764516;202,9180645;194,451;180,1893548;188,0536667;196,3348387;2338,403311;
2020;CASANARE;SAN LUIS DE PALENQUE;Frontera Energy Colombia Corp Sucursal Colombia;CARETO;CUBIRO;151,53;142,95;152,13;147,24;0;0;32,28;127,26;128,39;120,78;120,74;123,46;1246,76;
2021;CASANARE;SAN LUIS DE PALENQUE;Frontera Energy Colombia Corp Sucursal Colombia;CARETO;CUBIRO;126,84;126,03;122,15;122,47;121,23;120,33;123,21;122,53;118,73;115,17;108,29;107,33;1434,31;
2022;CASANARE;SAN LUIS DE PALENQUE;Frontera Energy Colombia Corp Sucursal Colombia;CARETO;CUBIRO;91,31;90,35;87,95;85,86;70,54;71,5;70,97;68,33;62,76;63,94;61,15;60,43;885,09;
2023;CASANARE;SAN LUIS DE PALENQUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARETO;CUBIRO;60,86;71,4;84,97;78,21;77,32;61,05;67,39;63,24;62,72;61,92;61,67;60,95;811,7;
2013;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;ORITO;677,6774194;693,25;491,3870968;1201,1;1381,548387;1608,433333;1494,548387;1721,709677;1533,1;1506,612903;1377,566667;982,2258065;14669,15968;
2014;PUTUMAYO;ORITO;ECOPETROL D. SUR;CARIBE;ORITO;1519,709677;1455,392857;1413,387097;1475,633333;1369,387097;1346,566667;1338,451613;1278,451613;1150,333333;149;1146,23;815,81;14458,35329;
2015;PUTUMAYO;ORITO;ECOPETROL;CARIBE;ORITO;1095,39;1124,07;1143,74;1119,13;1101;1063,73;1044,39;1028,23;1007,4;995,94;974,27;964,35;12661,64;
2016; PUTUMAYO ; ORITO ; ECOPETROL ; CARIBE ; AREA OCCIDENTAL ;954;930,45;903,16;875,3;859,52;870,2;651,71;864;835,4;809,26;788,13;768,77;10109,9;
2017;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;ORITO;753,8064516;736,8214286;720,0322581;690,0333333;715,9354839;701,096;694,8996774;694,5570968;693,1606667;647,2006452;625,3173333;627,5548387;8300,415214;
2018;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;ORITO;636,5977419;620,2042857;666,5841935;616,7556667;845,8464516;866,2723333;1133,88;1292,286774;1374,192333;1389,028387;1406,272667;1372,958387;12220,87922;
2020;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;AREA OCCIDENTAL;1133,57;1128,39;1123,5;1108,11;1103,39;1097,41;1100,57;1072,21;1047,69;1161,8;1227,62;1156,46;13460,72;
2021;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;AREA OCCIDENTAL;0;0;0;0;0;0;0;1393,01;1409,67;1390,93;1381,42;1382,46;6957,49;
2021;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;AREA OCCIDENTAL;833,83;1147,72;1407,48;1456,97;1425,22;1421,29;1426,83;0;0;0;0;0;9119,34;
2022;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;AREA OCCIDENTAL;1372,36;1370,55;1324,7;1296,97;1302,67;1318,72;1305,58;1215,91;1233,99;1258,72;1217,54;1212,26;15429,97;
2023;PUTUMAYO;ORITO;ECOPETROL S.A.;CARIBE;AREA OCCIDENTAL;1230,28;1257,2;1267,26;1246,2;1232,64;1284,77;1386,42;1335,59;1707,31;1716,74;1687,15;1657,07;17008,63;
2013;ARAUCA;ARAUQUITA;OCCIDENTAL DE COLOMBIA LLC;CARICARE;RONDON;7940,290323;4598,428571;11587,51613;12145;10514,80645;4565;7576,387097;8906,032258;6483,9;3869,580645;7573,133333;7529,903226;93289,97803;
2014;ARAUCA;ARAUQUITA;OCCIDENTAL DE COLOMBIA INC.;CARICARE;RONDON;8296,16129;7963,571429;5400,83871;487,3333333;1364,774194;6051,1;4294,16129;5459,967742;6760,166667;6527,096774;6156,47;6126,94;64888,58143;
2015;ARAUCA;ARAUQUITA;OCCIDENTAL DE COLOMBIA , LLC;CARICARE;RONDON;5464,935484;4988,785714;4907,709677;0;4184,032258;3573,8;0;1463,580645;4178,533333;4162,419355;3247,066667;3882,483871;40053,347;
2016; ARAUCA ; ARAUQUITA ; OCCIDENTAL DE COLOMBIA , LLC ; CARICARE ; RONDON ;3703,387097;3776,37931;3563;3406,066667;3885,903226;3325,166667;1631,290323;1621,225806;3645,766667;3657,548387;3405,5;3006,903226;38628,13737;
2017;ARAUCA;ARAUQUITA;OCCIDENTAL DE COLOMBIA LLC;CARICARE;RONDON;3331,096774;3319,678571;717,9677419;3265,166667;3427,806452;3401,133333;2971,645161;3204,483871;3265,733333;3282,322581;3191,966667;3146,032258;36525,03341;
2018;ARAUCA;ARAUQUITA;OCCIDENTAL DE COLOMBIA LLC;CARICARE;RONDON;3139,064516;3077,178571;2919,387097;3247;3043,419355;2816,266667;3827,354839;4090,741935;3957,8;4034,516129;3881,833333;4130;42164,56244;
2020;ARAUCA;ARAUQUITA;SIERRACOL ENERGY ARAUCA LLC;CARICARE;RONDON;3295,23;2869,76;2805;2427,13;2714,84;2927,87;2904,32;3057,98;3482,71;3481,4;3111,58;3291,47;36369,29;
2021;ARAUCA;ARAUQUITA;SIERRACOL ENERGY ARAUCA LLC;CARICARE;RONDON;2921,45;2933,88;2690,62;2577,96;2845,75;4084,75;3246,45;3725,17;3178,55;3323,53;3652,36;3587,27;38767,74;
2022;ARAUCA;ARAUQUITA;SIERRACOL ENERGY ARAUCA LLC;CARICARE;RONDON;3879,04;3592,62;3448,29;3362,65;3088,49;3460,55;3328,63;3112,69;2936,83;2847,31;2963,95;3011,08;39032,13;
2023;ARAUCA;ARAUQUITA;SIERRACOL ENERGY ARAUCA LLC;CARICARE;RONDON;3001,99;3235,05;3157,36;2988,95;2379,17;2767,18;2802,43;2506,09;2709,87;3204,79;3183,16;3143,89;35079,93;
2014;CASANARE;TAURAMENA;VERANO ENERGY DELTA CORP. SUCURSAL COLOMBIA;CARMENTEA;LLA 32;0;0;0;0;15,03;688,5;1367,77;2002,77;2057,4;2314,1;2156,83;0;10602,4;
2014;CASANARE;TAURAMENA;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;CARMENTEA;LLA 32;0;0;0;0;0;0;0;0;0;0;0;2159,48;2159,48;
2015;CASANARE;TAURAMENA;VERANO ENERGY LIMITED SUCURSAL;CARMENTEA;LLA 32;2582,87;2495,61;2235,16;4413,766667;1919,65;1560,3;1318,74;1141;1012,23;903,94;816,2;1005,68;21405,14667;
2016; CASANARE ; TAURAMENA ; VERANO ENERGY (BARBADOS) LIMITED ; CARMENTEA ; LLANOS 32 ;1081,032258;1030,482759;881,9354839;809,7333333;734,8064516;683,7666667;646;563,5806452;536;518,2580645;491,7333333;470,9032258;8448,232221;
2017;CASANARE;TAURAMENA;VERANO ENERGY (BARBADOS) LIMITED;CARMENTEA;LLANOS 32;448,4516129;423,6785714;391,4193548;379,6333333;365,516129;353,8333333;343;329,2580645;315,9;304,2580645;293,4333333;283,1935484;4231,575346;
2018;CASANARE;TAURAMENA;VERANO ENERGY (BARBADOS) LIMITED;CARMENTEA;LLA 32;270,4193548;259,0714286;316,6129032;236,6666667;225,2258065;223,154;218,6190323;208,2441935;203,5613333;193,9751613;190,1856667;188,4532258;2734,188773;
2020;CASANARE;TAURAMENA;VERANO ENERGY (BARBADOS) LIMITED;CARMENTEA;LLA 32;124,69;123,5;93,42;326,14;206,8;0;188,31;330,64;340,5;353,28;271,08;200,22;2558,58;
2021;CASANARE;TAURAMENA;VERANO ENERGY LIMITED SUCURSAL;CARMENTEA;LLA 32;80,89;0;192,07;387,65;381;387,45;362,12;301,53;276,24;246,46;163,31;122,61;2901,33;
2022;CASANARE;TAURAMENA;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;CARMENTEA;LLA 32;0;0;0;0;0;0;10,98;45,97;20,7;0;0;0;77,65;
2023;CASANARE;TAURAMENA;VERANO ENERGY LIMITED SUCURSAL;CARMENTEA;LLA 32;0;0;25,96;121,4;60,93;0;0;0;0;0;0;0;208,29;
2014;CESAR;SAN MARTIN;ECOPETROL S.A.;CARONTE;TISQUIRAMA-C;0;0;0;0;0;0;17,77;0;0;0;0;0;17,77;
2015;CESAR;SAN MARTIN;ECOPETROL;CARONTE;TISQUIRAMA-C;0;22,36;6,19;2037,6;0;0;0;0;0;0;42,13333333;156,0967742;2264,380108;
2016; CESAR ; SAN MARTIN ; ECOPETROL ; CARONTE ; TISQUIRAMA-C ;178,1935484;107,2068966;1,032258065;0;0;0;0;0;0;0;0;0;286,432703;
2020;CESAR;SAN MARTIN;ECOPETROL S.A.;CARONTE;TISQUIRAMA-C;30,7;25,59;11,68;0;0;0;0;0;0;0;0;0;67,97;
2013;CASANARE;OROCUE;C&C ENERGIA ;CARRIZALES;CRAVOVIEJO;3415,258065;3249,428571;3281,774194;3240,766667;3056,548387;3104,266667;3104,354839;3007,290323;2855,866667;2884,677419;2860,1;3065,258065;37125,58986;
2014;CASANARE;OROCUE;GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA;CARRIZALES;CRAVOVIEJO;2864,23;2487,29;2436,71;2325,8;2437,39;2374,5;2231,71;2216,35;2147,03;2112,9;2051,63;2105,42;27790,96;
2015;CASANARE;OROCUE;GRUPO C&C ENERGIA BARBADOS SUCURSAL COLOMBIA.;CARRIZALES;CRAVOVIEJO;2007,677419;1902,285714;1880,387097;1824,566667;2006,516129;2100,366667;1840,580645;1743,16129;1847,166667;1803,935484;1660,233333;1733,677419;22350,55453;
2016; CASANARE ; OROCUE ; GRUPO C&C ENERGIA BARBADOS SUCURSAL COLOMBIA. ; CARRIZALES ; CRAVOVIEJO ;1735,903226;1577,37931;1507,16129;1489,5;1375,354839;1318,033333;1299,483871;1337,83871;1168,3;1184;1150,166667;1025,419355;16168,5406;
2017;CASANARE;OROCUE;GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA;CARRIZALES;CRAVOVIEJO;1002,258065;1029;961,2903226;932,7333333;955,4883871;898,6396667;819,266129;790,5612903;752,0353333;702,5048387;659,8683333;672,4887097;10176,13441;
2018;CASANARE;OROCUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARRIZALES;CRAVOVIEJO;678,7693548;712,0271429;684,7783871;685,273;689,3470968;693,1436667;696,5551613;663,7567742;557,53;452,4416129;455,1163333;420,7216129;7389,460143;
2020;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;CARRIZALES;CRAVOVIEJO;371,7;296,33;249,22;227,24;264,05;214,84;162,95;136,31;121,76;127,3;137,96;163,75;2473,41;
2021;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;CARRIZALES;CRAVOVIEJO;220,75;247,55;246,75;268,49;261,28;318,95;384,05;371,53;384,1;387,18;372,03;373,82;3836,48;
2022;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;CARRIZALES;CRAVOVIEJO;356,53;343,19;310,17;310,92;348,78;379,51;372,32;383,22;377,78;385,18;382,16;374,07;4323,83;
2023;CASANARE;OROCUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARRIZALES;CRAVOVIEJO;375,14;375,95;356,61;378,22;383,11;375,97;362,08;380,14;383,48;337,12;318,34;292,67;4318,83;
2023;CASANARE;OROCUE;PETROLEOS COLOMBIANOS SA;CARRIZALES NORTE;TAPIR;0;0;0;0;72,83;267,87;590,51;1535,88;1739,66;1750,33;1162,95;808,35;7928,38;
2013;CASANARE;PORE;GEOPARK COLOMBIA PN S.A ;CARUPANA;YAMU;584,9354839;609,1428571;594,7419355;560,5;525,4516129;449,8666667;374,8387097;415,3870968;349,3;347,0645161;332,1666667;336,4193548;5479,8149;
2014;CASANARE;PORE;GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA;CARUPANA;YAMU;259,3548387;223,8214286;285,7419355;224,6666667;286,1612903;284,6;231,3548387;287,6451613;355,0666667;361,9354839;254,5;237,19;3292,03831;
2015;CASANARE;PORE;GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester);CARUPANA;YAMU;254,8709677;260,25;191,0645161;6,233333333;0;0;0;0;0;8,548387097;0;0;720,9672043;
2016; CASANARE ; PORE ; GEOPARK COLOMBIA PN S.A SUCURSAL ; CARUPANA ; YAMU ;0;0;0;0;0;0;0;66,35483871;0;0;0;0;66,35483871;
2017;CASANARE;PORE;GEOPARK COLOMBIA S.A.S.;CARUPANA;YAMU;0;0;271,0645161;255,7;258,4667742;262,401;260,1029032;330,0070968;331,6196667;332,3812903;298,4666667;286,166129;2886,376043;
2018;CASANARE;PORE;GEOPARK COLOMBIA S.A.S.;CARUPANA;YAMU;286,1296774;287,9960714;292,7787097;290,9283333;285,3574194;281,5176667;281,9474194;244,4770968;233,617;243,176129;204,846;164,3529032;3097,124426;
2020;CASANARE;PORE;PERENCO OIL AND GAS COLOMBIA LIMITED.;CARUPANA;YAMU;306,18;239,91;205,05;168,48;110,66;184,64;80,13;172,45;197,98;190,15;201,47;172,14;2229,24;
2021;CASANARE;PORE;PERENCO OIL AND GAS COLOMBIA LIMITED.;CARUPANA;YAMU;147,05;111,37;125,76;172,81;196,5;209,46;213,29;204,89;226,87;210,64;248,81;312,99;2380,44;
2022;CASANARE;PORE;PERENCO OIL AND GAS COLOMBIA LIMITED.;CARUPANA;YAMU;271,9;269,87;266,14;263,06;223,95;235,3;209,79;229,71;385,59;419;429,39;443,41;3647,11;
2023;CASANARE;PORE;PERENCO OIL AND GAS COLOMBIA LIMITED.;CARUPANA;YAMU;444,6;478,27;498,49;516,73;502,34;496,99;511,19;497,05;477,33;456,85;495,07;501,66;5876,57;
2013;CASANARE;VILLA NUEVA;PETROMINERALES COLOMBIA LTD.;CARUTO;CORCEL;622,8387097;615,2857143;665,4516129;498,3;639,3870968;572,6333333;861,0967742;852,6129032;842,0666667;832,6774194;825,8333333;820,0322581;8648,215822;
2014;CASANARE;VILLA NUEVA;PETROMINERALES COLOMBIA LTD;CARUTO;CORCEL;805,5483871;758,8571429;762,2258065;750,8;720;683,6333333;680,7741935;609,6451613;495,7666667;537,8387097;405,2;605,58;7815,869401;
2015;CASANARE;VILLA NUEVA;PETROMINERALES COLOMBIA LTD;CARUTO;CORCEL;619,3870968;608,2857143;594,8387097;550,6333333;578,9354839;523,0666667;561,7096774;510,516129;519,4666667;523,3225806;521,2666667;479,0322581;6590,460983;
2016; CASANARE ; VILLA NUEVA ; PETROMINERALES COLOMBIA LTD ; CARUTO ; CORCEL ;494,5806452;479,5862069;466,0967742;460,3;449,6129032;446,5333333;441,3548387;424,2580645;423,8;424,7096774;353,1333333;390,1290323;5254,094809;
2017;CASANARE;VILLA NUEVA;FRONTERA ENERGY;CARUTO;CORCEL;425,9354839;411,0714286;398;392,9666667;377,2580645;377,051;368,3145161;365,7319355;354,1123333;357,0545161;350,112;338,6709677;4516,278912;
2018;CASANARE;VILLA NUEVA;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARUTO;CORCEL;335,1812903;334,415;345,3390323;333,6103333;330,5422581;338,6123333;339,5467742;336,6377419;321,2736667;331,0429032;321,131;314,2303226;3981,562656;
2020;CASANARE;VILLA NUEVA;Frontera Energy Colombia Corp Sucursal Colombia;CARUTO;CORCEL;0;227,9;220,26;217,27;218,69;213,41;209,45;210,1;206,23;198,99;198,03;193,63;2313,96;
2020;CASANARE;VILLA NUEVA; Frontera Energy Colombia Corp Sucursal Colombia ;CARUTO;CORCEL;237,72;0;0;0;0;0;0;0;0;0;0;0;237,72;
2021;CASANARE;VILLA NUEVA;Frontera Energy Colombia Corp Sucursal Colombia;CARUTO;CORCEL;193,66;190,05;182,24;181,84;170,07;168,28;168,74;161,54;159,62;150,45;147,73;143,29;2017,51;
2022;CASANARE;VILLA NUEVA;Frontera Energy Colombia Corp Sucursal Colombia;CARUTO;CORCEL;129,44;141,36;138,42;134,86;131,73;128,07;126,77;122,68;121,35;120,73;117,4;114,97;1527,78;
2023;CASANARE;VILLA NUEVA;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CARUTO;CORCEL;113,57;109,39;109,6;108,26;105,19;105,56;100,9;103,03;102,01;104,94;98,86;100;1261,31;
2013;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;20218;18465,39286;17997,80645;18533,3;18518,06452;18538,23333;18130,90323;17853,67742;18041,23333;17234,70968;16643,93333;17474,83871;217650,0929;
2014;ANTIOQUIA;YONDO;ECOPETROL;CASABE;MAGDALENA MEDIO-CASABE;17661,64516;16542,96429;17067,16129;17207,76667;17934,19355;18587,43333;17410,58065;17367,35484;17474,6;16663,45161;17132,33;17657,39;208706,8714;
2015;ANTIOQUIA;YONDO;ECOPETROL;CASABE;MAGDALENA MEDIO-CASABE;17820,06;18919,71;18619,13;17321,7;17399,16;17550;16663;15615,74;15822;15685,35;15878,6;15217,1;202511,55;
2016; ANTIOQUIA ; YONDO ; ECOPETROL ; CASABE ; MAGDALENA MEDIO-CASABE ;14776,13;14636,28;14208,06;14104,23;13939,23;14229,57;13512,87;12920,1;12714,27;12488,23;12273,4;12465,58;162267,95;
2017;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;12745;12535,17857;12756,35484;12720,3;12491,88161;13126,881;12376,58161;12083,57742;11965,394;11750,84645;11931,9;11633,83323;148117,7287;
2018;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-MAGDALENA MEDIO;11363,25581;10968,13107;10280,50903;10223,189;10178,07839;11257,15967;10668,59097;10729,05452;11065,853;10798,69032;10508,95433;10601,76129;128643,2274;
2020;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;11636,58;11584,22;11488,16;10711,52;9483,4;9402,73;9599,38;9527,73;9991,97;10483,05;10633,2;10530,89;125072,83;
2021;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;10437,59;9791,88;10159,19;9851,66;9706,92;9396,84;9283,31;9393,69;9385,27;9411,55;9269,52;9131,99;115219,41;
2022;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;9307,36;9301,73;9267,02;9771,02;9434,78;9312,16;9335,58;9063,93;8795,82;8610,12;9099,57;9412,21;110711,3;
2023;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE;MAGDALENA MEDIO-CASABE;8912,6;8743,42;8653;8391,27;8556,17;8508,14;8263,41;8577,41;8440,36;8726,43;8754,61;8770,27;103297,09;
2013;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;3792,774194;4851,535714;5054,064516;4979,733333;4790,16129;4804,7;4360,612903;4011,032258;4252,3;4427,193548;4033,433333;3960,032258;53317,57335;
2014;ANTIOQUIA;YONDO;ECOPETROL;CASABE SUR;MAGDALENA MEDIO-CASABE;4049,419355;4201,821429;4094,580645;3729,366667;3356,516129;3388,833333;3607,354839;3617,806452;3828,766667;3742,354839;3360,83;2988,52;43966,17035;
2015;ANTIOQUIA;YONDO;ECOPETROL;CASABE SUR;MAGDALENA MEDIO-CASABE;2960,483871;3101,178571;3101,580645;3164,633333;3199,193548;3162,266667;2874,129032;2837,516129;2805,033333;2846,064516;2944,466667;2813,387097;35809,93341;
2016; ANTIOQUIA ; YONDO ; ECOPETROL ; CASABE SUR ; MAGDALENA MEDIO-CASABE ;2987,677419;2739,689655;2831,064516;2782,066667;2540,645161;2669,2;2678,516129;2649,677419;2593,866667;2452,225806;2440,633333;2174,483871;31539,74664;
2017;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;2300,677419;2487,25;2392,967742;2267,5;2186,604194;2277,046667;2322,652581;2274,220968;2125,131667;2253,612581;2193,874667;2123,447419;27204,9859;
2018;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-MAGDALENA MEDIO;2133,674839;2017,4575;2124,939032;2116,315667;1975,7;2109,943667;2116,832258;2058,217742;2008,698;2062,710645;2013,587333;1942,493548;24680,57023;
2020;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;1852,6;1763,47;1831,5;1838,38;1539,16;1541,67;1573,16;1514,94;1638,69;1639,14;1663,82;1558,06;19954,59;
2021;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;1736,6;1822,06;1687,38;1664,87;1740,06;1750,96;1780,06;1868,08;1973,09;2029,15;2087,13;2252,54;22391,98;
2022;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;2445,69;2273,01;2384,95;2393,97;2405,31;2442,75;2131,75;1933,96;2050,04;1956,21;1904,87;2080,45;26402,96;
2023;ANTIOQUIA;YONDO;ECOPETROL S.A.;CASABE SUR;MAGDALENA MEDIO-CASABE;2267,74;2210,2;2077,09;2125,03;2077,18;2023,43;1981,22;1952,13;1789,47;2095,71;2064,21;2060,55;24723,96;
2019;CASANARE;AGUAZUL;PERENCO COLOMBIA LIMITED;CASANARE;LA GLORIA;398,03;380,12;335,5;360,02;301,73;295,91;287,72;286,37;278,12;296,06;277,91;268,29;3765,78;
2019;CASANARE;MANI;PERENCO COLOMBIA LIMITED;CASANARE;LA GLORIA;259,97;298,97;294,07;294,62;293,22;280,37;279,02;276,61;272,62;268,31;139,6;186,86;3144,24;
2019;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;CASANARE;CAÑO GARZA;170,59;170,04;153,89;154,14;148,78;149,06;134,01;142,99;125,89;124,88;101,72;98,1;1674,09;
2019;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;CASANARE;CAÑO GARZA ESTE;118,01;129,71;116,2;103,28;119,79;151,22;145,35;137,51;138,5;140,74;125,06;136,14;1561,51;
2019;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;CASANARE;CAÑO GARZA NORTE ;209,15;189,09;190,56;155,41;155,32;144,23;151,38;143,4;142,82;139,86;130,08;122,38;1873,68;
2019;CASANARE;SAN LUIS DE PALENQUE;PERENCO COLOMBIA LIMITED;CASANARE;BARQUEREÑA;197,74;180,23;95,38;186,22;198;197,28;185,64;196,31;190,8;178,75;169,64;170,54;2146,53;
2019;CASANARE;SAN LUIS DE PALENQUE;PERENCO COLOMBIA LIMITED;CASANARE;CRAVO ESTE;567,79;544,41;579,37;530,38;72,88;505,4;541,7;540,04;524,37;513,04;495,68;498,98;5914,04;
2019;CASANARE;SAN LUIS DE PALENQUE;PERENCO COLOMBIA LIMITED;CASANARE;LA FLORA;313,11;261,97;239,23;293,65;307,74;305,54;314,22;297,57;237,3;244,15;256,24;276,13;3346,85;
2019;CASANARE;YOPAL;PERENCO COLOMBIA LIMITED;CASANARE;LA GLORIA NORTE;598,35;577,22;571,27;385,12;151,96;518,42;495,02;487,39;473,77;471,69;459,3;455,83;5645,34;
2019;CASANARE;YOPAL;PERENCO COLOMBIA LIMITED;CASANARE;MORICHAL;223,39;216,35;216,16;219,07;205,29;212,59;210,18;204,11;203,24;199,63;197,73;197,44;2505,18;
2019;CASANARE;YOPAL;PERENCO COLOMBIA LIMITED;CASANARE;TOCARIA;319,59;304,41;287,18;266,9;259,66;223,29;227,87;221,49;218,87;213,42;224,68;205,84;2973,2;
2019;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;CASANARE ESTE;CURITO;114,17;56,54;0;0;0;0;0;0;0;0;0;0;170,71;
2019;CASANARE;OROCUE;INVEPETROL LIMITED COLOMBIA;CASANARE ESTE;CURITO;0;0;0;0;0;0;0;0;0;0;30,01;118,06;148,07;
2019;CASANARE;SAN LUIS DE PALENQUE;Frontera Energy Colombia Corp Sucursal Colombia;CASANARE ESTE;CEDRILLO;0;0;66,98;33,43;338,02;154;0;0;0;0;0;0;592,43;
2019;CASANARE;SAN LUIS DE PALENQUE;Frontera Energy Colombia Corp Sucursal Colombia;CASANARE ESTE;CURITO;101,25;50,14;0;0;0;0;0;0;0;0;0;0;151,39;
2019;CASANARE;SAN LUIS DE PALENQUE;INVEPETROL LIMITED COLOMBIA;CASANARE ESTE;CURITO;0;0;0;0;0;0;0;0;0;0;26,61;104,69;131,3;
2019;CASANARE;MANI;Frontera Energy Colombia Corp Sucursal Colombia;CASIMENA;MANTIS;331,11;321,97;317,32;309,49;307,75;307,81;307,12;297,88;296,77;294,53;291,11;288,53;3671,39;
2019;CASANARE;MANI;Frontera Energy Colombia Corp Sucursal Colombia;CASIMENA;PISINGO;768,31;699,01;663,73;626,06;599,6;590,89;583,35;625,33;614,73;602,25;565,4;551,34;7490;
2020;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;CASTAÑA;MAPACHE;154,18;143,02;120,93;83,19;0;0;0;0;0;0;0;0;501,32;
2023;CASANARE;OROCUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;CASTAÑA;MAPACHE;0;0;0;0;0;0;9,19;0;0;0;0;0;9,19;
2013;META;CASTILLA NUEVA;ECOPETROL S.A.;CASTILLA;CUBARRAL;67868,45161;70703,64286;68040,80645;60984,96667;65974,3871;66711,3;66041,83871;65336,80645;59298,96667;58884,48387;57434,76667;58811,41935;766091,8364;
2014;META;CASTILLA NUEVA;ECOPETROL LLANOS;CASTILLA;CUBARRAL;58545,93548;58660,28571;58529,3871;62038,96667;64576,03226;63714;60958,70968;59706,6129;58843,06667;64184,87097;64393,13;62256,65;736407,6474;
2015;META;CASTILLA NUEVA;ECOPETROL;CASTILLA;CUBARRAL;72618,48;76140,18;83490,71;80329,7;76022,55;80382,77;74458,1;72845,35;68388,5;71336,26;79136,37;79016,55;914165,52;
2016; META ; CASTILLA NUEVA ; ECOPETROL ; CASTILLA ; CUBARRAL ;80425,94;85090,41;86185,74;83452,33;82908,26;81771,83;78688,74;75728,84;72788,2;75793,71;76227,47;76406,48;955467,95;
2017;META;ACACIAS;ECOPETROL S.A.;CASTILLA;CUBARRAL;0;0;0;0;292,0303226;490,883;756,4706452;1170,779677;421,507;0;0;0;3131,670645;
